HDI rank,Country,2013 Human Development Index (HDI) Value ,2013 Inequality-adjusted HDI (IHDI) Value,2013 Inequality-adjusted HDI (IHDI) Overall loss (%),2013 Inequality-adjusted HDI (IHDI) Difference from HDI rank,2013 Coefficient of human inequality Value,2013 Inequality in life expectancy %,2013 Inequality adjusted life expectancy index value,2013 Inequality in education %,2013 Inequality-adjusted education index value,2013 Inequality in income %,2013 Inequality-adjusted income index value,2003-2012 Income inequality Quintile ratio,2003-2012 Income inequality Palma ratio,2003-2012 Income inequality Gini coefficient
142.0,157,0.558,0.384,31.2,0,30.4,26.9,0.521,20,0.375,44.2,0.29,9.792307692307691,2.1817307692307706,50.8
144.0,55,0.556,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,44.4,0.283,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
93.81283422459893,107,0.493,0.332,32.6,-0.12413793103448276,32.4,35,0.394,38.2,0.241,23.9,0.387,9.792307692307691,2.1817307692307706,40.39057971014495
145.0,130,0.54,0.384,28.8,3,27.8,21.1,0.588,44,0.253,18.3,0.381,5,1.3,32.8
146.0,138,0.537,0.375,30.1,2,28.7,29.9,0.502,45.2,0.204,11,0.516,4.2,1.2,30
147.0,91,0.535,0.36,32.8,0,32.7,31.5,0.44,30.7,0.357,36,0.297,11,2.8,47.7
148.0,177,0.53,0.354,33.3,-2,33.1,35,0.29,26.8,0.404,37.6,0.378,14,3.5,51.5
149.0,4,0.526,0.295,44,-17,43.6,46.2,0.264,34.6,0.31,50,0.313,9,2.2,42.7
150.0,127,0.524,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,27.1,0.507,19.4,0.299,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
151.0,151,0.506,0.338,33.2,-4,33.1,30.2,0.473,29.4,0.338,39.6,0.241,11,3.2,50.8
152.0,30,0.504,0.339,32.8,-2,32.4,39.4,0.327,34.8,0.317,23.1,0.377,6.9,1.8,38.9
152.0,135,0.504,0.3,40.3,-14,40.2,40.8,0.296,45.2,0.233,34.5,0.394,12.2,3,48.8
154.0,205,0.5,0.336,32.8,-2,31.7,30.3,0.462,47.2,0.179,17.6,0.457,6.3,1.7,37.7
155.0,109,0.498,0.346,30.5,2,30.3,24.8,0.517,30.1,0.32,36.1,0.25,9.3,2.3,44.1
156.0,207,0.492,0.358,27.2,7,26.8,26.8,0.449,17.8,0.411,35.8,0.249,9.792307692307691,2.1817307692307706,40.39057971014495
157.0,142,0.491,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,26.5,0.48,11.5,0.333,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
157.0,167,0.491,0.374,23.8,11,23.8,22.3,0.57,22.8,0.313,26.3,0.293,9.792307692307691,2.1817307692307706,40.39057971014495
159.0,38,0.488,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,34.2,0.414,47.4,0.237,24.300609756097558,0.5066585365853656,26.7,2.1817307692307706,64.3
159.0,182,0.488,0.356,27.1,8,26.9,30.4,0.445,29.5,0.3,20.9,0.339,6.6,1.7,37.6
161.0,116,0.487,0.315,35.3,-2,34.6,36.6,0.405,45.9,0.191,21.2,0.404,7.8,1.9,40.5
